2018-06-30 11:40:53,557 MOJA WIADOMOSC
[2018-06-30 11:41:48,642] - MOJA WIADOMOSC
[2018-06-30 11:43:37,143] - MOJA WIADOMOSC
[2018-06-30 11:48:19,336] - sys
[2018-06-30 11:48:19,344] - stdout
[2018-06-30 11:48:19,834] - syntaxerror
[2018-06-30 11:48:20,236] - rjust
[2018-06-30 11:48:20,264] - rjust
[2018-06-30 11:48:20,311] - rjust
[2018-06-30 11:48:20,436] - rjust
[2018-06-30 11:48:20,527] - ljust
[2018-06-30 11:48:20,712] - ljust
[2018-06-30 11:48:20,741] - zfill
[2018-06-30 11:48:20,807] - zfill
[2018-06-30 11:48:20,815] - zfill
[2018-06-30 11:48:20,823] - zfill
[2018-06-30 11:48:21,249] - specifiej
[2018-06-30 11:48:21,316] - valueh
[2018-06-30 11:48:21,413] - sjoerd
[2018-06-30 11:48:21,422] - dcab
[2018-06-30 11:48:21,462] - dcab
[2018-06-30 11:48:21,470] - sjoerd
[2018-06-30 11:48:21,494] - formay
[2018-06-30 11:48:21,599] - sjoerd
[2018-06-30 11:48:21,609] - dcab
[2018-06-30 11:48:21,620] - sjoerd
[2018-06-30 11:48:21,629] - sjoerd
[2018-06-30 11:48:21,637] - dcab
[2018-06-30 11:48:21,644] - dcab
[2018-06-30 11:48:21,661] - sjoerd
[2018-06-30 11:48:21,669] - dcab
[2018-06-30 11:48:21,720] - sjoerd
[2018-06-30 11:48:21,730] - dcab
[2018-06-30 11:48:21,743] - sjoerd
[2018-06-30 11:48:21,752] - sjoerd
[2018-06-30 11:48:21,761] - dcab
[2018-06-30 11:48:21,770] - dcab
[2018-06-30 11:48:21,788] - sjoerd
[2018-06-30 11:48:21,795] - dcab
[2018-06-30 11:48:21,943] - sprintf
[2018-06-30 11:48:22,037] - printf
[2018-06-30 11:48:22,552] - exe
[2018-06-30 11:48:22,955] - stdin
[2018-06-30 11:48:22,968] - valueerror
[2018-06-30 11:48:23,231] - readline
[2018-06-30 11:48:23,323] - readline
[2018-06-30 11:48:23,381] - readline
[2018-06-30 11:48:23,403] - readline
[2018-06-30 11:48:23,414] - readline
[2018-06-30 11:48:23,511] - readlines
[2018-06-30 11:48:23,862] - abcdef
[2018-06-30 11:48:24,053] - isatty
[2018-06-30 11:48:24,117] - json
[2018-06-30 11:48:24,349] - json
[2018-06-30 11:48:24,358] - javascript
[2018-06-30 11:48:24,388] - json
[2018-06-30 11:48:24,462] - deserializing
[2018-06-30 11:48:24,477] - deserializing
[2018-06-30 11:48:24,526] - json
[2018-06-30 11:48:24,591] - interoperability
[2018-06-30 11:48:24,626] - json
[2018-06-30 11:48:24,655] - json
[2018-06-30 11:48:24,663] - json
[2018-06-30 11:48:24,764] - json
[2018-06-30 11:48:24,835] - json
[2018-06-30 11:48:24,889] - json
[2018-06-30 11:48:24,910] - json
[2018-06-30 11:48:24,953] - json
[2018-06-30 11:48:25,060] - deserializing
